Date,Weekday numeric,,Open,High,Low,Close,Adj Close,Volume,,,,,
12/2/2020,4,,364.820007,366.959991,364.200012,366.790009,353.326202,45927000,,,,,
12/3/2020,5,,366.679993,368.190002,365.5,366.690002,353.229858,62882000,,,,,
12/4/2020,6,,367.320007,369.850006,367.220001,369.850006,356.273895,50749900,,,,,
12/7/2020,2,,369.019989,369.619995,367.720001,369.089996,355.541779,48944300,,,,,
12/8/2020,3,,367.720001,370.779999,367.670013,370.170013,356.582123,42458900,,,,,
12/9/2020,4,,370.880005,371.049988,365.950012,366.850006,353.384033,74098300,,,,,
12/10/2020,5,,365.369995,367.859985,364.429993,366.730011,353.268402,57735400,,,,,
12/11/2020,6,,364.899994,366.73999,363.26001,366.299988,352.854218,57698600,,,,,
12/14/2020,2,,368.640015,369.799988,364.470001,364.660004,351.274384,69216200,,,,,
12/15/2020,3,,367.399994,369.589996,365.920013,369.589996,356.023407,63865300,,,,,
12/16/2020,4,,369.820007,371.160004,368.869995,370.170013,356.582123,58420500,,,,,
12/17/2020,5,,371.940002,372.459991,371.049988,372.23999,358.576141,64119500,,,,,
12/18/2020,6,,370.970001,371.149994,367.019989,369.179993,357.144379,136542300,,,,,
12/21/2020,2,,364.970001,378.459991,362.029999,367.859985,355.867401,96386700,,,,,
12/22/2020,3,,368.209991,368.329987,366.029999,367.23999,355.267639,47949000,,,,,
12/23/2020,4,,368.279999,369.619995,367.220001,367.570007,355.586914,46201400,,,,,
12/24/2020,5,,368.079987,369.029999,367.450012,369,356.970245,26457900,,,,,
12/28/2020,2,,371.73999,372.589996,371.070007,372.170013,360.036926,39000400,,,,,
12/29/2020,3,,373.809998,374,370.829987,371.459991,359.350098,53680500,,,,,
12/30/2020,4,,372.339996,373.100006,371.570007,371.98999,359.862793,49455300,,,,,
12/31/2020,5,,371.779999,374.660004,371.230011,373.880005,361.691162,78520700,,,,,
1/4/2021,2,,375.309998,375.450012,364.820007,368.790009,356.76712,110210800,,,,,
1/5/2021,3,,368.100006,372.5,368.049988,371.329987,359.224243,66426200,,,,,
1/6/2021,4,,369.709991,376.980011,369.119995,373.549988,361.371918,107997700,,,,,
1/7/2021,5,,376.100006,379.899994,375.910004,379.100006,366.741058,68766800,,,,,
1/8/2021,6,,380.589996,381.48999,377.100006,381.26001,368.830597,71677200,,,,,
1/11/2021,2,,377.850006,380.579987,377.720001,378.690002,366.344391,51034700,,,,,
1/12/2021,3,,378.890015,379.859985,376.359985,378.769989,366.421753,52547700,,,,,
1/13/2021,4,,378.690002,380.859985,377.850006,379.790009,367.408508,45303600,,,,,
1/14/2021,5,,380.589996,381.130005,378.100006,378.459991,366.121826,49989100,,,,,
1/15/2021,6,,376.720001,377.579987,373.700012,375.700012,363.451813,107160000,,,,,
1/19/2021,3,,378.339996,379.230011,376.75,378.649994,366.305664,51233300,,,,,
1/20/2021,4,,381.109985,384.790009,380.690002,383.890015,371.374847,61836100,,,,,
1/21/2021,5,,384.48999,384.950012,383.25,384.23999,371.71344,47840100,,,,,
1/22/2021,6,,382.25,384.130005,381.839996,382.880005,370.397766,52860500,,,,,
1/25/2021,2,,383.670013,384.769989,378.459991,384.390015,371.858582,70402000,,,,,
1/26/2021,3,,385.410004,385.850006,383.540009,383.790009,371.278107,42665300,,,,,
1/27/2021,4,,380.220001,380.320007,372.01001,374.410004,362.203888,123351100,,,,,
1/28/2021,5,,376.359985,381.929993,375.890015,377.630005,365.318939,94198100,,,,,
1/29/2021,6,,375.630005,376.670013,368.269989,370.070007,358.005402,126765100,,,,,
2/1/2021,2,,373.720001,377.339996,370.380005,376.230011,363.964569,75817600,,,,,
2/2/2021,3,,379.649994,383.220001,376.320007,381.549988,369.111145,64450700,,,,,
2/3/2021,4,,382.440002,383.700012,380.480011,381.850006,369.401367,52427100,,,,,
2/4/2021,5,,382.959991,386.23999,381.970001,386.190002,373.599823,47142600,,,,,
2/5/2021,6,,388.200012,388.470001,386.140015,387.709991,375.070282,48669800,,,,,
2/8/2021,2,,389.269989,390.559998,388.350006,390.51001,377.779083,38365200,,,,,
2/9/2021,3,,389.609985,390.890015,389.170013,390.25,377.527527,35551100,,,,,
2/10/2021,4,,392.119995,392.279999,387.5,390.079987,377.363068,59154400,,,,,
2/11/2021,5,,391.23999,391.690002,388.100006,390.709991,377.972473,42913300,,,,,
2/12/2021,6,,389.850006,392.899994,389.769989,392.640015,379.83963,50593300,,,,,
